"Geslacht";"Niveau";"Leerweg";"Studierichting";"Regio";"Perioden";"Gediplomeerden mbo (Aantal)"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zakelijke dienstverlenin...";"Gelderland (PV)";"2020/'21*";"    2220"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zakelijke dienstverlenin...";"Utrecht (PV)";"2020/'21*";"    1310"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zakelijke dienstverlenin...";"Noord-Holland (PV)";"2020/'21*";"    2770"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zakelijke dienstverlenin...";"Zuid-Holland (PV)";"2020/'21*";"    3790"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zakelijke dienstverlenin...";"Zeeland (PV)";"2020/'21*";"     240"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zakelijke dienstverlenin...";"Noord-Brabant (PV)";"2020/'21*";"    2420"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zakelijke dienstverlenin...";"Limburg (PV)";"2020/'21*";"     940"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zakelijke dienstverlenin...";"Niet in te delen (PV)";"2020/'21*";"      80"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer specialistisch vakmanschap";"Nederland";"2020/'21*";"     860"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer specialistisch vakmanschap";"Groningen (PV)";"2020/'21*";"      20"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer specialistisch vakmanschap";"Fryslân (PV)";"2020/'21*";"      40"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer specialistisch vakmanschap";"Drenthe (PV)";"2020/'21*";"      20"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer specialistisch vakmanschap";"Overijssel (PV)";"2020/'21*";"      70"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer specialistisch vakmanschap";"Flevoland (PV)";"2020/'21*";"      20"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer specialistisch vakmanschap";"Gelderland (PV)";"2020/'21*";"     100"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer specialistisch vakmanschap";"Utrecht (PV)";"2020/'21*";"      50"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer specialistisch vakmanschap";"Noord-Holland (PV)";"2020/'21*";"     120"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer specialistisch vakmanschap";"Zuid-Holland (PV)";"2020/'21*";"     190"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer specialistisch vakmanschap";"Zeeland (PV)";"2020/'21*";"      20"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer specialistisch vakmanschap";"Noord-Brabant (PV)";"2020/'21*";"     150"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer specialistisch vakmanschap";"Limburg (PV)";"2020/'21*";"      60"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer specialistisch vakmanschap";"Niet in te delen (PV)";"2020/'21*";"      10"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Entree";"Nederland";"2020/'21*";"   12500"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Entree";"Groningen (PV)";"2020/'21*";"     420"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Entree";"Fryslân (PV)";"2020/'21*";"     530"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Entree";"Drenthe (PV)";"2020/'21*";"     310"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Entree";"Overijssel (PV)";"2020/'21*";"     780"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Entree";"Flevoland (PV)";"2020/'21*";"     450"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Entree";"Gelderland (PV)";"2020/'21*";"    1260"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Entree";"Utrecht (PV)";"2020/'21*";"     670"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Entree";"Noord-Holland (PV)";"2020/'21*";"    2240"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Entree";"Zuid-Holland (PV)";"2020/'21*";"    3510"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Entree";"Zeeland (PV)";"2020/'21*";"     210"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Entree";"Noord-Brabant (PV)";"2020/'21*";"    1480"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Entree";"Limburg (PV)";"2020/'21*";"     560"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Entree";"Niet in te delen (PV)";"2020/'21*";"     100"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Bovensectoraal";"Nederland";"2020/'21*";"    1240"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Bovensectoraal";"Groningen (PV)";"2020/'21*";"     270"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Bovensectoraal";"Fryslân (PV)";"2020/'21*";"      30"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Bovensectoraal";"Drenthe (PV)";"2020/'21*";"      40"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Bovensectoraal";"Overijssel (PV)";"2020/'21*";"      10"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Bovensectoraal";"Flevoland (PV)";"2020/'21*";"       0"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Bovensectoraal";"Gelderland (PV)";"2020/'21*";"     130"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Bovensectoraal";"Utrecht (PV)";"2020/'21*";"     170"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Bovensectoraal";"Noord-Holland (PV)";"2020/'21*";"     120"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Bovensectoraal";"Zuid-Holland (PV)";"2020/'21*";"     350"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Bovensectoraal";"Zeeland (PV)";"2020/'21*";"      10"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Bovensectoraal";"Noord-Brabant (PV)";"2020/'21*";"      70"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Bovensectoraal";"Limburg (PV)";"2020/'21*";"      30"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Bovensectoraal";"Niet in te delen (PV)";"2020/'21*";"      10"
